,post_id,date,count
3326,947,2020-11-01,1
3327,947,2020-12-13,2
3328,947,2021-01-03,1
3329,947,2021-01-10,1
3330,947,2021-01-24,1
3331,947,2021-01-31,1
3332,947,2021-02-28,1
3333,947,2021-04-18,1
3334,947,2021-05-09,1
3335,947,2021-05-16,2
3336,947,2021-05-23,1
3337,947,2021-06-20,1
3338,947,2021-06-27,1
3339,947,2021-07-11,2
3340,947,2021-08-01,1
3341,947,2021-08-15,1
3342,947,2021-08-22,1
3343,947,2021-09-05,2
3344,947,2021-09-19,2
3345,947,2021-09-26,1
3346,947,2021-10-03,1
3347,947,2021-10-17,1
3348,947,2021-11-07,1
3349,947,2021-11-28,2
3350,947,2021-12-05,1
3351,947,2021-12-12,3
3352,947,2021-12-26,1
3353,947,2022-01-02,1
3354,947,2022-01-09,1
3355,947,2022-01-16,1
3356,947,2022-01-30,1
3357,947,2022-02-06,1
3358,947,2022-02-13,1
3359,947,2022-03-06,2
3360,947,2022-03-13,1
3361,947,2022-03-27,1
3362,947,2022-04-03,9
3363,947,2022-05-01,1
3364,947,2022-05-08,1
3365,947,2022-06-26,3
3366,947,2022-07-03,2
3367,947,2022-07-31,1
3368,947,2022-09-04,3
3369,947,2022-10-02,1
3370,947,2022-11-20,1
3371,947,2022-12-25,1
3372,947,2023-01-22,1
3373,947,2023-03-12,1
3374,947,2023-04-16,1
3375,947,2023-06-11,2
3376,947,2023-06-18,1
3377,947,2023-07-02,1
3378,947,2023-07-16,1
3379,947,2023-08-06,1
3380,947,2023-08-13,1
3381,947,2023-09-17,4
3382,947,2023-09-24,1
3383,947,2023-10-01,1
3384,947,2023-10-15,1
3385,947,2023-10-22,1
3386,947,2023-10-29,2
3387,947,2023-11-12,1
3388,947,2023-11-19,2
3389,947,2024-01-14,1
3390,947,2024-01-28,1
3391,947,2024-02-04,1
3392,947,2024-02-18,1
3393,962,2021-02-07,1
3394,962,2021-02-14,1
3395,962,2021-03-21,2
3396,962,2021-03-28,1
3397,962,2021-04-04,1
3398,962,2021-04-18,2
3399,962,2021-05-09,1
3400,962,2021-07-04,2
3401,962,2021-07-11,1
3402,962,2021-07-18,1
3403,962,2021-07-25,3
3404,962,2021-08-08,1
3405,962,2021-08-15,1
3406,962,2021-08-22,1
3407,962,2021-08-29,1
3408,962,2021-09-26,1
3409,962,2021-10-10,2
3410,962,2021-10-24,1
3411,962,2021-11-14,1
3412,962,2021-12-12,2
3413,962,2021-12-26,1
3414,962,2022-01-09,3
3415,962,2022-01-30,1
3416,962,2022-02-20,1
3417,962,2022-03-13,1
3418,962,2022-03-20,1
3419,962,2022-03-27,1
3420,962,2022-04-03,1
3421,962,2022-04-17,1
3422,962,2022-06-12,2
3423,962,2022-09-11,2
3424,962,2022-11-13,1
3425,962,2023-01-22,1
3426,962,2023-03-05,1
3427,962,2023-05-07,2
3428,962,2023-08-13,1
3429,962,2023-08-20,1
3430,962,2024-01-21,1
3431,962,2024-02-04,1
3432,962,2024-02-11,1
3433,962,2024-02-18,1
3434,962,2024-03-03,1
3435,982,2020-11-01,1
3436,982,2020-11-15,1
3437,982,2020-11-22,1
3438,982,2021-01-10,1
3439,982,2021-02-07,1
3440,982,2021-02-14,1
3441,982,2021-02-21,1
3442,982,2021-03-07,1
3443,982,2021-05-16,1
3444,982,2021-05-23,3
3445,982,2021-06-06,1
3446,982,2021-06-13,1
3447,982,2021-06-27,2
3448,982,2021-07-11,1
3449,982,2021-07-25,3
3450,982,2021-08-01,1
3451,982,2021-08-08,1
3452,982,2021-09-12,1
3453,982,2021-10-03,2
3454,982,2021-10-10,1
3455,982,2021-10-24,1
3456,982,2021-10-31,1
3457,982,2021-11-21,1
3458,982,2021-12-05,1
3459,982,2022-01-02,1
3460,982,2022-01-09,2
3461,982,2022-01-23,2
3462,982,2022-01-30,1
3463,982,2022-02-06,3
3464,982,2022-02-13,3
3465,982,2022-02-20,1
3466,982,2022-02-27,2
3467,982,2022-03-06,1
3468,982,2022-03-13,1
3469,982,2022-03-20,3
3470,982,2022-03-27,1
3471,982,2022-04-03,3
3472,982,2022-04-17,1
3473,982,2022-04-24,2
3474,982,2022-05-08,2
3475,982,2022-05-15,1
3476,982,2022-05-29,1
3477,982,2022-06-12,1
3478,982,2022-06-26,1
3479,982,2022-07-03,1
3480,982,2022-07-10,1
3481,982,2022-07-17,2
3482,982,2022-07-31,2
3483,982,2022-09-18,1
